name,abbreviation,url,id,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,publications
 COVID-19 Data Repository,,https://www.openicpsr.org/openicpsr/covid19,4074,"The COVID-19 Data Repository is a repository for data examining the social, behavioral, public health, and economic impact of the novel coronavirus global pandemic. This is a free self-publishing option for any researcher who wants to share data related to COVID-19. Deposits should include all data, annotated program code, command files, and documentation necessary to understand the data collection and/or replicate research findings.
",ready,repository,United States,2022,,,"Regents of the University of Michigan, USA",Undefined,,,open,open,
AccessClinicalData@NIAID,,https://accessclinicaldata.niaid.nih.gov/,5584,"AccessClinicalData@NIAID is a NIAID cloud-based, controlled access, secure data platform that enables sharing of and access to reports and data sets from NIAID COVID-19 and other sponsored clinical trials for the basic and clinical research community.",ready,repository,United States,,National Institutes of Health,Government body,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,,,controlled,open,
Addgene,Addgene,https://www.addgene.org/,1738,"Addgene is a non-profit plasmid repository dedicated to helping scientists around the world share high-quality plasmids. Addgene are working with thousands of laboratories to assemble a high-quality library of published plasmids for use in research and discovery. By linking plasmids with articles, scientists can always find data related to the materials they request.",ready,repository,"United Kingdom, United States",2004,Addgene,Company,Addgene,Company,General Contact Email,info@addgene.org,open,open,10.1038/nbt.2177; 10.1038/505272a; 10.1093/nar/gku893
Alliance of Genome Resources,,https://www.alliancegenome.org,2530,"The primary mission of the Alliance of Genome Resources (the Alliance) is to develop and maintain sustainable genome information resources that facilitate the use of diverse model organisms in understanding the genetic and genomic basis of human biology, health and disease.",ready,knowledgebase,"United Kingdom, United States",2017,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA; National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,Alliance of Genome Resources Consortium,Consortium,General Contact,help@alliancegenome.org,open,not applicable,10.1093/nar/gkz813; 10.1534/genetics.119.302523
American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry,ASCO Registry,https://old-prod.asco.org/covid-resources/asco-registry,3223,"The American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry (ASCO Registry) aims to help the cancer community learn more about the patterns of symptoms and severity of COVID-19 among patients with cancer, as well as how COVID-19 is impacting the delivery of cancer care and patient outcomes. The ASCO Registry is designed to collect both baseline and follow-up data on how the virus impacts cancer care and cancer patient outcomes during the COVID-19 pandemic and into 2021.",deprecated,repository,United States,2020,,,"American Society of Clinical Oncology, USA",Consortium,General contact,CENTRA@asco.org,partially open,not applicable,
Antibody Registry,,https://antibodyregistry.org/,1725,"The Antibody Registry exists to give researchers a way to universally identify antibodies used in publications. The registry lists many commercial antibodies from about 200 vendors which have each been assigned a unique identifier. If the antibody that you are using does not appear in the list, an entry can be made by filling in as little as 2 pieces of information: the catalog number and the url of the vendor where our curators can find information and material data sheets. Many optional fields can also be filled in that will help curators identify the reagent. After submitting an antibody, you are given a permanent identifier that can be used in publications. This identifier even if it is later found to be a duplicate, can be quickly traced back in the antibody registry. We never delete records, but we collapse duplicate entries on a regular basis (the old identifiers are kept to help with search).",ready,repository,United States,2009,"National Institutes of Health (NIH) Blueprint for Neuroscience Research, Bethesda, MD, USA",Government body,Neuroscience Information Framework (NIF),Consortium,Anita Bandrowski,abandrowski@ucsd.edu,open,open,10.1038/nmeth.2570; 10.1093/nar/gkac927
Arca Dados,,https://arcadados.fiocruz.br/,5829,"Arca Dados is Fiocruz's official research data repository. Its mission is to be the platform for archiving, publishing, disseminating, preserving and sharing digital research data produced by the Fiocruz community and/or in partnership with other research institutes or bodies, following the FAIR principles.",ready,repository,Brazil,2019,,,Fundação Oswaldo Cruz,Government body,Vanessa Jorge,vanessa.jorge@fiocruz.br,partially open,controlled,
BBMRI-ERIC Directory,,https://directory.bbmri-eric.eu/,2857,"The BBMRI-ERIC Directory is a tool to share aggregate information about biobanks across Europe. The Directory welcomes new biobanks to join and publish information about themselves, including their contact information in the directory. The BBMRI-ERIC Directory can help researchers find relevant biobanks, get their contact information and identify appropriate infrastructure for the storage of samples for research purposes.",ready,repository,"Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Estonia, Finland, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Malta, Netherlands, Norway, Poland, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom, European Union",2015,,,"BBMRI-ERIC national nodes, Graz, Austria; BBMRI-ERIC; Biobanking and Biomolecular Resources Research Infrastructure (BBMRI), The Netherlands",Undefined; Consortium,Petr Holub,petr.holub@bbmri-eric.eu,open,controlled,10.1089/bio.2016.0088
Better Outcomes Registry & Network,BORN Ontario,https://www.bornontario.ca/en/index.aspx,4061,"Funded by the Government of Ontario, the Better Outcomes Registry & Network (BORN) is Ontario's prescribed perinatal, newborn and child registry with the role of facilitating quality care for families across the province. BORN collects, interprets, shares and rigorously protects high-quality data.
",ready,repository,Canada,2020,,,Children's Hospital of Eastern Ontario,Government body,COVID Inquiries; General Inquiries,covid@bornontario.ca; info@bornontario.ca,controlled,open,
BioData.pt Data Management Portal,DMPortal,https://dmportal.biodata.pt/,4475,"The BioData.pt Data Management Portal (DMPortal) was created to share, preserve, cite, explore and analyze research data, and implements several domain-specific metadata standards such as MIAPPE, which the BioData.pt Plant Sciences Community co-developed together with its ELIXIR collaborators.
DMPortal mints Digital object identifiers (DOIs) for the submitted datasets via DataCite, in a partnership with the Scientific Computing Unit of the Fundação para a Ciência e a Tecnologia (FCT-FCCN). 
",ready,repository,Portugal,2020,,,BioData.pt,Consortium,DMPortal Team,dmportal@biodata.pt,open,open,
BioExcel - Covid19,,https://bioexcel-cv19.bsc.es/#/,4617,BioExcel-CV19 is a platform designed to provide web-access to atomistic-MD trajectories for macromolecules involved in the COVID-19 disease.,ready,repository,Spain,2020,Human Brain Project; BioExcel CoE; EBRAINS AISBL; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon Europe,Government body; Consortium,"Barcelona Supercomputing Center (BSC), Barcelona, Spain; Institute for Research in Biomedicine",Government body,Dani Beltrán,daniel.beltran@irbbarcelona.org,open,controlled,10.1093/nar/gkad991
BioModels,BioModels,https://www.ebi.ac.uk/biomodels/,1846,BioModels is a repository of computational models of biological processes. It allows users to search and retrieve mathematical models published in the literature. Many models are manually curated (to ensure reproducibility) and extensively cross-linked to publicly available reference information.,ready,knowledgebase,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2005,"Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Molecular Biology Laboratory (EMBL), Heidelberg, Germany; Innovative Medicines Initiative (IMI), Europe",Research institute; Government body; Consortium,"SBML Community; European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; BBSRC Babraham Institute, Cambridge, UK",Research institute; Government body; Consortium,BioModels Team,biomodels-cura@ebi.ac.uk,open,open,10.1093/nar/gkx1023; 10.1093/nar/gkj092; 10.1002/psp4.3; 10.1093/nar/gkz1055
